parent_id,name,end
64,ソファベッド,1
64,応接セット,1
64,ソファカバー,1
64,リクライニングソファ,1
64,その他,1
65,すべて,1
65,一般,1
65,スツール,1
65,ダイニングチェア,1
65,ハイバックチェア,1
65,ロッキングチェア,1
65,座椅子,1
65,折り畳みイス,1
65,デスクチェア,1
65,その他,1
66,すべて,1
66,こたつ,1
66,カウンターテーブル,1
66,サイドテーブル,1
66,センターテーブル,1
66,ダイニングテーブル,1
66,座卓/ちゃぶ台,1
66,アウトドア用,1
66,パソコン用,1
66,事務机/学習机,1
66,その他,1
67,すべて,1
67,リビング収納,1
67,キッチン収納,1
67,玄関/屋外収納,1
67,バス/トイレ収納,1
67,本収納,1
67,本/CD/DVD収納,1
67,洋服タンス/押入れ収納,1
67,電話台/ファックス台,1
67,ドレッサー/鏡台,1
67,棚/ラック,1
67,ケース/ボックス,1
67,その他,1
68,すべて,1
68,ラグ,1
68,カーペット,1
68,ホットカーペット,1
68,玄関/キッチンマット,1
68,トイレ/バスマット,1
68,その他,1
69,すべて,1
69,カーテン,1
69,ブラインド,1
69,ロールスクリーン,1
69,のれん,1
69,その他,1
70,すべて,1
70,蛍光灯/電球,1
70,天井照明,1
70,フロアスタンド,1
70,その他,1
71,すべて,1
71,布団/毛布,1
71,枕,1
71,シーツ/カバー,1
71,その他,1
72,すべて,1
72,ごみ箱,1
72,ウェルカムボード,1
72,オルゴール,1
72,クッション,1
72,クッションカバー,1
72,スリッパラック,1
72,ティッシュボックス,1
72,バスケット/かご,1
72,フォトフレーム,1
72,マガジンラック,1
72,モビール,1
72,花瓶,1
72,灰皿,1
72,傘立て,1
72,小物入れ,1
72,置時計,1
72,掛時計/柱時計,1
72,鏡(立て掛け式),1
72,鏡(壁掛け式),1
72,置物,1
72,風鈴,1
72,植物/観葉植物,1
72,その他,1
73,すべて,1
73,正月,1
73,成人式,1
73,バレンタインデー,1
73,ひな祭り,1
73,子どもの日,1
73,母の日,1
73,父の日,1
73,サマーギフト/お中元,1
73,夏/夏休み,1
73,ハロウィン,1
73,敬老の日,1
73,七五三,1
73,お歳暮,1
73,クリスマス,1
73,冬一般,1
73,その他,1
74,すべて,1
75,すべて,1
75,文学/小説,1
